model,seed,perturbation,acc,macro_f1,delta_acc_vs_full,delta_macro_f1_vs_full
baseline,44,full,0.6986531986531986,0.7009271870507624,0.0,0.0
baseline,44,low_0.15,0.49663299663299665,0.4961476910209341,-0.202020202020202,-0.2047794960298283
baseline,44,low_0.30,0.6043771043771043,0.606998890637079,-0.09427609427609429,-0.09392829641368339
baseline,44,low_0.50,0.6565656565656566,0.6557849048303112,-0.04208754208754206,-0.045142282220451246
baseline,44,high_0.30,0.17003367003367004,0.054501063991488075,-0.5286195286195285,-0.6464261230592743
baseline,44,high_0.50,0.16666666666666666,0.0476878612716763,-0.531986531986532,-0.653239325779086
baseline,44,band_0.15_0.30,0.16666666666666666,0.047619047619047616,-0.531986531986532,-0.6533081394317148
baseline,44,band_0.30_0.50,0.16666666666666666,0.047619047619047616,-0.531986531986532,-0.6533081394317148
baseline,44,band_0.50_0.75,0.16666666666666666,0.047619047619047616,-0.531986531986532,-0.6533081394317148
baseline,44,blur_light,0.563973063973064,0.5734529086829573,-0.13468013468013462,-0.12747427836780512
baseline,44,blur_heavy,0.32491582491582494,0.3153544851287598,-0.3737373737373737,-0.3855727019220026
baseline,44,downsample_x2,0.6447811447811448,0.6470070825004669,-0.05387205387205385,-0.0539201045502955
baseline,44,downsample_x4,0.5909090909090909,0.5949784426569014,-0.1077441077441077,-0.10594874439386104
baseline,44,amplitude_noise_0.05,0.6767676767676768,0.6798373193420565,-0.02188552188552184,-0.02108986770870591
baseline,44,amplitude_noise_0.10,0.6767676767676768,0.6792283532569998,-0.02188552188552184,-0.021698833793762584
baseline,44,phase_noise_0.05,0.664983164983165,0.6667951769413857,-0.03367003367003363,-0.03413201010937672
baseline,44,phase_noise_0.10,0.6801346801346801,0.6810683304688318,-0.01851851851851849,-0.01985885658193065
concat,42,full,0.7053872053872053,0.7068962126574253,0.0,0.0
concat,42,low_0.15,0.2255892255892256,0.16209048077844956,-0.4797979797979798,-0.5448057318789757
concat,42,low_0.30,0.3686868686868687,0.3248054759626602,-0.33670033670033667,-0.3820907366947651
concat,42,low_0.50,0.6430976430976431,0.6404074608665896,-0.062289562289562284,-0.06648875179083569
concat,42,high_0.30,0.1734006734006734,0.061242211170182366,-0.531986531986532,-0.645654001487243
concat,42,high_0.50,0.16666666666666666,0.0476878612716763,-0.5387205387205387,-0.659208351385749
